type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
# might break other wwsoll http://192.168.174.20:8123/history?entity_id=sensor.ebusd_hc_hwctempdesired&start_date=2026-01-02T23%3A00%3A00.000Z
#w,,,wwsoll,Warmwasser Solltemperatur,,35,5023,001300,value,,UIN,10,°C,temperature


# falsche Werte:
# 255:
#r,,,Hwctemp,Warmwasser Ist-Temperatur,,,5022,000e00,value,,UIN,10,°C,temperature
# 3,276.8:
#r,,,Returntemp,Ruecklauf Ist-Temperatur,,,5022,001600,value,,UIN,10,°C,temperature
#
#r,cha,verdichterstarts,Verdichterstarts,,08,5022,CC2602;CC2702,verdichterstarts,,ULG,,,Verdichterstarts 
#=> 128.357
# r,cha,verdichter_max_starts_pro_stunde,(WP121) Verdichter max. Starts pro Stunde,,08,5022,CC582F,verdichter_max_starts_pro_stunde,,UIN,,,(WP121) Verdichter max. Starts pro Stunde
# => 32.768
# r,cha,warmwassertemperatur,Warmwassertemperatur,,08,5022,CC0E00,warmwassertemperatur,,SIN,10,°C,Warmwassertemperatur
# => 255
# r,cha,aussentemperatur,Außentemperatur,,08,5022,CC0C00,aussentemperatur,,SIN,10,°C,Außentemperatur
# => -40
# r,,no_of_power_on,Anzahl Netz-Ein (30->08),,08,5022,CC5E27,,,UIN,,,,,,,,,,,,
# => 32.768
